R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YBR207W	FTH1	0.00281615	0.0492826	-0.806972	5.7833	6.4392	0.129878	0.150312	4	8	t-test	E
YGR157W	CHO2	0.289779	0.476066	-0.803963	3.50734	4.21247	0.305131	0.633456	4	8	t-test	E
YCR086W	CSM1	1.74426e-05	0.00153895	-0.80052	4.53043	5.20875	0.064045	0.0769956	4	8	t-test	E
YCR028C-A	RIM1	0.000582061	0.023255	-0.795688	4.70999	5.37947	0.0864732	0.132509	4	8	t-test	E
YBR178W	YBR178W	0.00384557	0.0561032	-0.792774	5.84217	6.48284	0.140791	0.14217	4	8	t-test	E
YBR221C	PDB1	0.000727958	0.0268533	-0.782793	5.17971	5.82582	0.0433065	0.139686	4	8	t-test	E
YBR150C	TBS1	0.005624	0.0658121	-0.769854	5.45586	6.083	0.14405	0.152549	4	8	t-test	E
YLR065C	ENV10	0.673559	0.788764	-0.76291	3.06404	3.73922	1.48404	0.82463	4	8	t-test	E
YBR156C	SLI15	0.00601727	0.0679551	-0.761483	5.67893	6.29278	0.0711453	0.193408	4	8	t-test	E
YBR107C	IML3	0.00194628	0.0433815	-0.760267	5.51563	6.13203	0.0533137	0.158987	4	8	t-test	E
YBR220C	YBR220C	0.00182289	0.0422293	-0.7546	5.70309	6.30966	0.0682384	0.156027	4	8	t-test	E
YFL036W	RPO41	0.00400571	0.056898	-0.746392	4.51777	5.14348	0.0631665	0.176381	4	8	t-test	E
YBR201W	DER1	0.00351657	0.0551443	-0.743176	5.88252	6.47381	0.0608885	0.171711	4	8	t-test	E
YLR418C	CDC73	0.000537203	0.0228108	-0.742157	4.86396	5.47761	0.0900626	0.0597119	4	8	t-test	E
YBR162C	TOS1	0.0066885	0.0695717	-0.731083	5.74371	6.32637	0.122531	0.171883	4	8	t-test	E
YDL184C	RPL41A	0.0728377	0.22272	-0.72535	5.37856	5.96398	0.278772	0.116236	4	8	t-test	E
YBR139W	YBR139W	0.0134722	0.0936989	-0.722474	5.85718	6.42882	0.156521	0.173682	4	8	t-test	E
YDL071C	YDL071C	0.000394138	0.0187548	-0.718205	5.42768	6.00499	0.0745055	0.113229	4	8	t-test	E
YBR223C	TDP1	0.00911972	0.0789302	-0.713174	5.63367	6.20135	0.132913	0.171588	4	8	t-test	E
YDL027C	YDL027C	0.0012942	0.0388719	-0.710296	5.66943	6.23348	0.0846791	0.133303	4	8	t-test	E
YBR182C	SMP1	0.00609212	0.0679689	-0.70997	5.53883	6.10556	0.125581	0.156316	4	8	t-test	E
YDL038C	YDL038C	0.00300258	0.05046	-0.707232	5.62397	6.18607	0.103053	0.146121	4	8	t-test	E
YIL040W	APQ12	0.482027	0.645599	-0.703617	3.98537	4.5815	0.613702	0.723297	4	8	t-test	E
YGL046W	YGL046W	0.000203148	0.0117854	-0.702906	5.20155	5.7691	0.0786897	0.0672452	4	8	t-test	E
YBR210W	ERV15	0.00461499	0.0605052	-0.702252	5.61411	6.17156	0.113476	0.152478	4	8	t-test	E
YOR026W	BUB3	0.0379201	0.157596	-0.699099	3.73035	4.32791	0.216477	0.10892	4	8	t-test	E
YBR099C	YBR099C	0.00238212	0.046174	-0.698524	5.54928	6.10458	0.0816746	0.14761	4	8	t-test	E
YBR056W	YBR056W	0.00364911	0.055556	-0.695788	5.82167	6.36805	0.0546653	0.161798	4	8	t-test	E
YDR388W	RVS167	0.00149977	0.0410913	-0.690755	4.8254	5.3897	0.100893	0.116384	4	8	t-test	E
YKL032C	IXR1	0.00171672	0.0422293	-0.688491	4.82078	5.38298	0.101	0.12107	4	8	t-test	E
YHL027W	RIM101	3.05681e-05	0.00248954	-0.685795	5.1735	5.72497	0.0129983	0.0735281	4	8	t-test	E
YBR121C	GRS1	0.00523725	0.063735	-0.685501	5.40914	5.95493	0.0164323	0.168182	4	8	t-test	E
YBR209W	YBR209W	0.0117984	0.0890504	-0.683711	5.66267	6.20089	0.124414	0.180258	4	8	t-test	E
YBR169C	SSE2	0.00954629	0.0806957	-0.681666	5.73317	6.26779	0.114796	0.175563	4	8	t-test	E
YBR145W	ADH5	0.0272782	0.134076	-0.676608	5.89502	6.42098	0.156703	0.204185	4	8	t-test	E
YGL045W	RIM8	0.00711268	0.0717308	-0.675933	5.22043	5.7612	0.138714	0.118143	4	8	t-test	E
YBR180W	DTR1	0.00931055	0.0795411	-0.673287	5.74874	6.27481	0.132256	0.155582	4	8	t-test	E
YDL036C	PUS9	0.000748215	0.0268533	-0.673239	5.66897	6.19682	0.0666023	0.119824	4	8	t-test	E
YBR129C	OPY1	0.0177055	0.110368	-0.672122	5.60478	6.13301	0.154743	0.169877	4	8	t-test	E
YBR199W	KTR4	0.0245569	0.130104	-0.668718	5.651	6.17485	0.0863361	0.225463	4	8	t-test	E
YGL127C	SOH1	5.58939e-06	0.000591777	-0.661395	4.20233	4.75223	0.0429567	0.0611177	4	8	t-test	E
YDL142C	CRD1	7.42674e-05	0.00515611	-0.661054	4.9492	5.48165	0.0631245	0.0758222	4	8	t-test	E
YDR532C	YDR532C	0.488481	0.650142	-0.658515	0.651016	1.27951	0.304241	0.837726	4	8	t-test	E
YBR197C	YBR197C	0.00502645	0.0623413	-0.657349	5.62995	6.14317	0.117777	0.132843	4	8	t-test	E
YBR208C	DUR1	0.00655938	0.0694351	-0.648934	5.7548	6.25693	0.100744	0.157092	4	8	t-test	E
YBR073W	RDH54	0.00250836	0.0465513	-0.646631	5.53575	6.04065	0.0887941	0.131874	4	8	t-test	E
YDL051W	LHP1	0.000409151	0.0190413	-0.64656	5.64393	6.14629	0.0673721	0.102463	4	8	t-test	E
YDL065C	PEX19	0.00045936	0.0202645	-0.646361	5.17352	5.68647	0.0806567	0.0890051	4	8	t-test	E
YBR128C	ATG14	0.0177234	0.110368	-0.643316	5.92552	6.41825	0.121202	0.187462	4	8	t-test	E
YBR092C	PHO3	0.00140918	0.0399782	-0.641557	5.90032	6.39191	0.0422786	0.127301	4	8	t-test	E
YBR051W	YBR051W	0.00473309	0.0605865	-0.641046	5.84079	6.33324	0.0726832	0.154268	4	8	t-test	E
YBR083W	TEC1	0.00272901	0.0483571	-0.640177	5.5959	6.09312	0.0178946	0.13922	4	8	t-test	E
YBR119W	MUD1	0.00347054	0.0548423	-0.639196	5.55494	6.05214	0.0955476	0.134971	4	8	t-test	E
YIL011W	TIR3	0.380491	0.560497	-0.638174	0.375	0.989948	0.125	0.657825	4	8	t-test	E
YGR058W	PEF1	0.00016666	0.0103795	-0.635113	5.1179	5.62113	0.032204	0.0919551	4	8	t-test	E
YBR186W	PCH2	0.00435922	0.0581811	-0.634235	5.83008	6.31612	0.102675	0.135339	4	8	t-test	E
YCR087W	YCR087W	0.00221442	0.0457467	-0.632246	5.62915	6.11786	0.0955166	0.116918	4	8	t-test	E
YBR069C	TAT1	0.00679597	0.0703691	-0.623615	5.75891	6.23621	0.0506034	0.162306	4	8	t-test	E
YBR126C	TPS1	0.00161508	0.0419623	-0.621806	5.29518	5.78134	0.0355615	0.125571	4	8	t-test	E
YBR071W	YBR071W	0.00906835	0.0788593	-0.621099	5.64185	6.11938	0.0863755	0.166002	4	8	t-test	E
YBR066C	NRG2	0.00213947	0.0450779	-0.620188	5.80003	6.27305	0.0850009	0.122119	4	8	t-test	E
YDR244W	PEX5	0.00468331	0.0605865	-0.616029	4.98582	5.47343	0.116797	0.097137	4	8	t-test	E
YGR105W	VMA21	0.640453	0.763818	-0.615366	3.57214	4.09151	1.12291	0.474987	4	8	t-test	E
YFR011C	MIC19	0.0211731	0.121173	-0.610259	5.37329	5.84638	0.159109	0.080906	4	8	t-test	E
YCL023C	YCL023C	0.00698681	0.0716164	-0.609344	5.60677	6.07362	0.0985816	0.147394	4	8	t-test	E
YNL141W	AAH1	0.0668717	0.2129	-0.608367	3.48853	4.00298	0.0660741	0.271511	4	8	t-test	E
YIL153W	RRD1	0.0025385	0.0465513	-0.606322	5.28057	5.75194	0.0985201	0.0622272	4	8	t-test	E
YBR219C	YBR219C	0.0230012	0.126836	-0.605411	5.87333	6.33022	0.145138	0.165121	4	8	t-test	E
YCR102W-A	YCR102W-A	0.00103675	0.0332625	-0.605387	5.5162	5.98125	0.0841313	0.09565	4	8	t-test	E
YBR022W	POA1	0.000736962	0.0268533	-0.604699	5.67689	6.1376	0.0693566	0.10313	4	8	t-test	E
YBR114W	RAD16	0.00361047	0.055556	-0.603537	5.50006	5.96368	0.0388007	0.139809	4	8	t-test	E
YBR194W	AIM4	0.268777	0.455127	-0.603341	3.19303	3.70935	0.307273	0.403591	4	8	t-test	E
YDL026W	YDL026W	0.000746287	0.0268533	-0.601463	5.7554	6.21114	0.0537861	0.108176	4	8	t-test	E
YBR195C	MSI1	0.007449	0.0726875	-0.600426	5.43779	5.89979	0.124588	0.104188	4	8	t-test	E
YDL019C	OSH2	0.00402133	0.056898	-0.600106	5.69856	6.15428	0.0503983	0.141916	4	8	t-test	E
YGR085C	RPL11B	0.00969019	0.0815864	-0.599917	4.88022	5.35451	0.0833813	0.162663	4	8	t-test	E
YDL222C	FMP45	0.00120725	0.0378689	-0.598985	5.58015	6.03748	0.086302	0.0942681	4	8	t-test	E
YBL089W	AVT5	0.0234333	0.127558	-0.59475	5.18089	5.64324	0.159188	0.0788604	4	8	t-test	E
YCL044C	MGR1	0.000573443	0.0231289	-0.591374	5.6311	6.07983	0.0732615	0.0897799	4	8	t-test	E
YBL051C	PIN4	0.00819527	0.0754043	-0.591014	5.21102	5.66903	0.125588	0.098319	4	8	t-test	E
YDR024W	FYV1	0.0232249	0.127135	-0.58616	5.51851	5.96473	0.158137	0.0878043	4	8	t-test	E
YBR177C	EHT1	0.0241473	0.129448	-0.580874	5.81497	6.24923	0.1552	0.1323	4	8	t-test	E
YBR084W	MIS1	0.000376569	0.0183307	-0.579839	5.53496	5.97462	0.0523612	0.093872	4	8	t-test	E
YBR184W	YBR184W	0.0154145	0.101524	-0.578338	5.88286	6.31308	0.124605	0.148304	4	8	t-test	E
YBR072W	HSP26	0.0112198	0.0871851	-0.578157	5.87208	6.30237	0.0457868	0.166131	4	8	t-test	E
YBR203W	COS111	0.0119386	0.0890504	-0.577879	5.96131	6.38928	0.0888312	0.16127	4	8	t-test	E
YBR116C	YBR116C	0.00416261	0.0576106	-0.577088	5.76019	6.19201	0.0735517	0.133465	4	8	t-test	E
YBR188C	NTC20	0.0187909	0.113523	-0.576292	5.79597	6.22618	0.0966044	0.176345	4	8	t-test	E
YBR172C	SMY2	0.0305973	0.140735	-0.576274	5.79756	6.22772	0.149241	0.165496	4	8	t-test	E
YDL226C	GCS1	0.00175099	0.0422293	-0.575891	4.75147	5.20524	0.0855559	0.100313	4	8	t-test	E
YBR162W-A	YSY6	0.0824436	0.236872	-0.575668	5.86024	6.28837	0.16948	0.239733	4	8	t-test	E
