R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	2.1936e-05	0.00619326	-2.78863	0.375	3.24227	0.125	0.0569155	4	8	t-test	E
YCL032W	STE50	0.000138444	0.0187699	-2.74532	0.745825	3.57793	0.136998	0.0348765	4	8	t-test	E
YPR024W	YME1	0.000152527	0.0187699	-1.98832	0.447626	2.4965	0.16417	0.09122	4	8	t-test	E
YDL035C	GPR1	0.0649374	0.377471	-1.96106	1.20865	3.2485	0.708652	0.20385	4	8	t-test	E
YKL212W	SAC1	0.0140572	0.197782	-1.73677	0.5	2.29237	0	0.547672	4	8	t-test	E
YOL004W	SIN3	0.0223252	0.235779	-1.65586	1.11412	2.83884	0.395503	0.0844126	4	8	t-test	E
YOR302W	YOR302W	0.029948	0.26809	-1.56882	0.375	1.99214	0.125	0.59036	4	8	t-test	E
YOR078W	BUD21	1.01817e-05	0.0035933	-1.40128	0.714016	2.16788	0.107034	0.117704	4	8	t-test	E
YCR081W	SRB8	0.0107073	0.17241	-1.35923	0.375	1.77734	0.125	0.405173	4	8	t-test	E
YHL007C	STE20	0.0503432	0.346364	-1.33136	0.580045	1.95892	0.0800452	0.576847	4	8	t-test	E
YER016W	BIM1	7.16897e-05	0.0126502	-1.29435	1.87868	3.2519	0.12086	0.101418	4	8	t-test	E
YMR202W	ERG2	0.0402576	0.307329	-1.2443	0.399393	1.68455	0.135103	0.502813	4	8	t-test	E
YOL064C	MET22	0.186276	0.546958	-1.16792	1.06982	2.29336	0.0708525	0.81504	4	8	t-test	E
YOR058C	ASE1	0.150887	0.516159	-1.16174	1.79795	3.03325	0.571808	0.434707	4	8	t-test	E
YDR318W	MCM21	1.04587e-07	0.000221464	-1.14023	2.40817	3.6366	0.0288439	0.0712798	4	8	t-test	E
YPL178W	CBC2	0.0433839	0.322335	-1.13701	0.399775	1.57498	0.13529	0.467545	4	8	t-test	E
YIL040W	APQ12	0.253482	0.623573	-1.09612	1.21906	2.37272	0.695171	0.546501	4	8	t-test	E
YPL018W	CTF19	0.00055306	0.0383969	-1.04554	2.34563	3.47546	0.121572	0.0761834	4	8	t-test	E
YPL226W	NEW1	0.0312812	0.274277	-0.964822	1.16496	2.18272	0.0535569	0.367831	4	8	t-test	E
YBR238C	YBR238C	4.78252e-07	0.000506349	-0.961494	2.48326	3.53037	0.0477317	0.0458301	4	8	t-test	E
YDR392W	SPT3	0.00121063	0.0528559	-0.906013	1.94075	2.91752	0.105324	0.0459093	4	8	t-test	E
YKL032C	IXR1	0.00138743	0.0544054	-0.835039	2.31374	3.22705	0.111456	0.0614665	4	8	t-test	E
YEL061C	CIN8	0.227546	0.593491	-0.827671	2.07523	2.97506	0.546682	0.0991036	4	8	t-test	E
YIL059C	YIL059C	0.362753	0.713765	-0.805657	2.73307	3.62669	0.751491	0.0669021	4	8	t-test	E
YIL084C	SDS3	1.36946e-06	0.000966613	-0.799795	2.27439	3.1506	0.0365972	0.0693507	4	8	t-test	E
YLR087C	CSF1	0.298858	0.663426	-0.796048	1.33863	2.18773	0.518944	0.507048	4	8	t-test	E
YGR157W	CHO2	0.11908	0.474542	-0.762182	1.61212	2.43332	0.24433	0.38377	4	8	t-test	E
YGR259C	YGR259C	0.425023	0.751316	-0.761281	2.45911	3.30044	0.825	0.084553	4	8	t-test	E
YMR198W	CIK1	2.19139e-06	0.0012741	-0.760792	2.26689	3.10294	0.048317	0.0560895	4	8	t-test	E
YOR303W	CPA1	0.167136	0.527566	-0.758974	0.522318	1.31314	0.0223184	0.504372	4	8	t-test	E
YGR231C	PHB2	2.64498e-17	1.12015e-13	-0.756742	2.40555	3.24089	0.0479736	0.0244872	28	56	t-test	E
YCL044C	MGR1	6.22652e-05	0.011986	-0.739824	2.64565	3.46962	0.0298132	0.0972833	4	8	t-test	E
YPL180W	TCO89	0.142425	0.504741	-0.720084	1.21551	1.9837	0.0928433	0.441085	4	8	t-test	E
YHR178W	STB5	0.239209	0.606758	-0.701705	0.83854	1.57853	0.224948	0.522758	4	8	t-test	E
YGR282C	BGL2	0.426696	0.751687	-0.698805	2.74752	3.53199	0.760008	0.0864346	4	8	t-test	E
YHR158C	KEL1	0.370941	0.717705	-0.69342	2.55612	3.33032	0.657651	0.108189	4	8	t-test	E
YBR231C	SWC5	0.00181169	0.0661423	-0.691816	2.16294	2.92572	0.107237	0.118609	4	8	t-test	E
YHL027W	RIM101	2.43024e-06	0.0012741	-0.689831	2.75935	3.53491	0.026583	0.0627517	4	8	t-test	E
YAL013W	DEP1	0.000211523	0.0213286	-0.663499	2.42331	3.16354	0.0699835	0.0519265	4	8	t-test	E
YGL046W	YGL046W	0.0158278	0.205615	-0.647803	2.83525	3.56963	0.142082	0.0418556	4	8	t-test	E
YMR086C-A	YMR086C-A	0.413969	0.745565	-0.631755	2.82832	3.54608	0.667613	0.0302774	4	8	t-test	E
YKR065C	PAM17	0.000738458	0.0421939	-0.615285	2.59725	3.29238	0.0714044	0.0395111	4	8	t-test	E
YPL181W	CTI6	4.41736e-05	0.00935376	-0.59221	3.07533	3.75871	0.0544012	0.0556695	4	8	t-test	E
YLR193C	UPS1	0.000670624	0.0421939	-0.585451	2.25921	2.91537	0.0738841	0.0510049	4	8	t-test	E
YDL142C	CRD1	0.000912497	0.0449352	-0.575174	2.4653	3.11605	0.0672419	0.034314	4	8	t-test	E
