R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDP
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.0438924	0.351109	-7.66394	5.90736	12.0165	2.28575	0.0620413	4	8	t-test	E
YCR081W	SRB8	0.00292492	0.105767	-7.45881	0	6.60431	0	1.47974	4	8	t-test	E
YKL212W	SAC1	0.0113799	0.197442	-7.14041	4.48503	10.2936	1.54475	0.649346	4	8	t-test	E
YPR024W	YME1	0.0351322	0.319967	-7.04324	4.77425	10.4636	1.95584	0.263789	4	8	t-test	E
YPR141C	KAR3	0.0417662	0.344178	-6.19498	4.73645	9.67909	1.84958	0.298311	4	8	t-test	E
YEL061C	CIN8	0.14006	0.525379	-5.44639	8.00103	11.9068	2.73308	0.177248	4	8	t-test	E
YCL032W	STE50	0.00141231	0.0786993	-4.75156	9.35175	12.4876	0.440137	0.0616902	4	8	t-test	E
YHL007C	STE20	0.151918	0.542473	-4.4611	4.11026	7.5894	1.39193	2.22362	4	8	t-test	E
YOR302W	YOR302W	0.0731928	0.432317	-4.40141	5.03618	8.35639	0.390802	1.83873	4	8	t-test	E
YOL052C	SPE2	0.0714298	0.427019	-4.3683	4.61119	7.95077	1.58527	1.1726	4	8	t-test	E
YDL035C	GPR1	0.18588	0.575439	-3.7604	8.3722	10.7427	1.92157	1.53603	4	8	t-test	E
YOR058C	ASE1	0.348344	0.687842	-3.58798	8.68935	10.8708	3.00328	1.55343	4	8	t-test	E
YOR303W	CPA1	0.263282	0.636414	-3.44229	3.45801	6.10977	2.00843	1.82141	4	8	t-test	E
YER016W	BIM1	1.32616e-06	0.000882241	-3.01013	10.7795	12.2099	0.093254	0.215307	4	8	t-test	E
YBL025W	RRN10	0.294411	0.65921	-3.00219	8.33071	10.0346	1.99596	1.56309	4	8	t-test	E
YOL004W	SIN3	0.000192959	0.0277863	-2.69612	10.2858	11.4947	0.172264	0.0520058	4	8	t-test	E
YPR069C	SPE3	0.0684535	0.423418	-2.48268	7.3068	8.66797	0.927623	0.306745	4	8	t-test	E
YGR282C	BGL2	0.387994	0.715349	-2.19779	11.9883	12.5609	2.18167	0.0435537	4	8	t-test	E
YMR086C-A	YMR086C-A	0.385689	0.713585	-2.08645	12.1879	12.6391	2.05962	0.0420503	4	8	t-test	E
YDR318W	MCM21	1.71863e-10	3.63921e-07	-2.01948	12.0726	12.4777	0.024113	0.0523405	4	8	t-test	E
YMR198W	CIK1	5.9146e-05	0.0131833	-1.97364	11.1775	11.6445	0.158815	0.0945521	4	8	t-test	E
YIL059C	YIL059C	0.393106	0.71779	-1.90891	12.2014	12.4938	1.91693	0.119454	4	8	t-test	E
YJR109C	CPA2	0.37335	0.706179	-1.84185	9.3279	9.89011	1.79301	0.739042	8	16	t-test	E
YGR157W	CHO2	0.325187	0.680751	-1.82366	9.03378	9.61358	0.759175	1.40296	4	8	t-test	E
YPL018W	CTF19	0.00140586	0.0786993	-1.82144	12.2334	12.4447	0.215353	0.0771249	4	8	t-test	E
YGR259C	YGR259C	0.416323	0.731892	-1.78035	12.0773	12.2701	1.89271	0.0370975	4	8	t-test	E
YGR188C	BUB1	0.00101422	0.0671127	-1.58204	10.4237	10.6303	0.228022	0.198477	4	8	t-test	E
YOR026W	BUB3	0.0198656	0.246718	-1.48394	10.7876	10.8657	0.383208	0.191033	4	8	t-test	E
YDR126W	SWF1	0.000916843	0.0617291	-1.37447	12.2504	12.064	0.164701	0.076172	4	8	t-test	E
YOL115W	PAP2	0.350617	0.688521	-1.34138	0	1.18771	0	1.18771	4	8	t-test	E
YHR158C	KEL1	0.461906	0.761419	-1.31732	12.384	12.1316	1.56457	0.0769015	4	8	t-test	E
YJL204C	RCY1	0.299774	0.663606	-1.15962	10.773	10.5656	0.87513	0.431112	4	8	t-test	E
YLR193C	UPS1	0.00706913	0.161523	-1.11026	11.3793	11.0587	0.172614	0.247784	4	8	t-test	E
YPL017C	IRC15	7.16316e-08	6.60043e-05	-1.10646	13.0449	12.5301	0.0468718	0.0550257	4	8	t-test	E
YDR245W	MNN10	0.0676027	0.423418	-1.04838	11.1104	10.7659	0.160595	0.419505	4	8	t-test	E
YMR206W	YMR206W	0.0804623	0.446018	-1.00773	13.1501	12.5359	0.554423	0.0212591	28	56	t-test	E
YGL127C	SOH1	1.62055e-05	0.0042894	-1.00278	11.5364	11.1026	0.0584658	0.0996897	4	8	t-test	E
YLR418C	CDC73	2.71626e-06	0.00143792	-0.910618	12.6162	11.9772	0.0537446	0.0710038	4	8	t-test	E
YBR194W	AIM4	0.296437	0.661395	-0.849132	9.94584	9.55827	0.616417	0.361632	4	8	t-test	E
YGR105W	VMA21	0.699566	0.879641	-0.839031	10.1914	9.76676	1.90929	0.554219	4	8	t-test	E
YDR392W	SPT3	0.000918284	0.0617291	-0.836905	12.2196	11.5607	0.119019	0.101095	4	8	t-test	E
YKL032C	IXR1	0.0308183	0.307819	-0.810071	12.7068	11.9683	0.233341	0.0958767	4	8	t-test	E
YOR275C	RIM20	4.03077e-05	0.00948351	-0.789929	13.0567	12.2603	0.0658167	0.0818938	4	8	t-test	E
YBR231C	SWC5	0.0154308	0.217229	-0.775354	12.7331	11.9609	0.189355	0.131969	4	8	t-test	E
YDR207C	UME6	0.139925	0.525379	-0.754267	10.9307	10.3463	0.203648	0.373147	4	8	t-test	E
YDL118W	YDL118W	0.000287352	0.0320246	-0.749472	13.3344	12.4704	0.0719253	0.103978	4	8	t-test	E
YKR019C	IRS4	0.00255441	0.101102	-0.741679	13.1483	12.2987	0.12568	0.0964047	4	8	t-test	E
YDL142C	CRD1	0.00191304	0.0911069	-0.739194	12.8905	12.0683	0.117335	0.105257	4	8	t-test	E
YBR093C	PHO5	0.0501487	0.374843	-0.732393	11.968	11.2454	0.136847	0.261724	4	8	t-test	E
YGL046W	YGL046W	0.00216227	0.0974011	-0.728175	13.2654	12.3904	0.118524	0.0793792	4	8	t-test	E
YOR030W	DFG16	0.000587032	0.0516787	-0.699769	13.1748	12.285	0.0860956	0.0977268	4	8	t-test	E
YDR254W	CHL4	0.00230861	0.0996694	-0.684225	13.5955	12.6438	0.0939584	0.0353822	4	8	t-test	E
YHL027W	RIM101	1.1869e-05	0.00342803	-0.678951	13.1585	12.2522	0.0258918	0.0631078	4	8	t-test	E
YPL098C	MGR2	4.52361e-06	0.00191575	-0.676507	13.0561	12.1594	0.0409501	0.0565786	4	8	t-test	E
YGL045W	RIM8	0.0201062	0.247448	-0.670613	13.3014	12.3713	0.172115	0.0785453	4	8	t-test	E
YBR150C	TBS1	0.0364388	0.323266	-0.648141	13.5764	12.595	0.197437	0.0845956	4	8	t-test	E
YMR243C	ZRC1	0.000286742	0.0320246	-0.625532	13.4925	12.5006	0.0722564	0.0752507	4	8	t-test	E
YBR222C	PCS60	7.79272e-08	6.60043e-05	-0.618371	13.7125	12.6891	0.0227565	0.033835	4	8	t-test	E
YGR122W	YGR122W	0.000109022	0.0192379	-0.61753	13.2849	12.3097	0.0629526	0.0649501	4	8	t-test	E
YKR065C	PAM17	0.00179368	0.0911069	-0.599627	13.5008	12.485	0.092503	0.0568768	4	8	t-test	E
YHL025W	SNF6	0.646283	0.862128	-0.598242	11.3342	10.5654	1.08097	0.504975	4	8	t-test	E
YNL141W	AAH1	0.156669	0.544294	-0.59253	11.3298	10.5565	0.145997	0.313838	4	8	t-test	E
YLR290C	YLR290C	0.00267393	0.102946	-0.590875	13.1824	12.1954	0.0987438	0.060805	4	8	t-test	E
YCR033W	SNT1	0.00394181	0.125516	-0.586189	13.3582	12.3469	0.105639	0.0925507	4	8	t-test	E
YDL119C	YDL119C	0.00571175	0.152651	-0.574619	13.6964	12.6361	0.105934	0.0486461	4	8	t-test	E
YOR065W	CYT1	0.0127873	0.199303	-0.569101	12.9807	11.9975	0.125772	0.116929	4	8	t-test	E
YOR043W	WHI2	0.0944323	0.461681	-0.566027	13.3436	12.3161	0.240428	0.107018	4	8	t-test	E
YIL084C	SDS3	0.00115552	0.0709596	-0.5641	12.8714	11.8963	0.0557355	0.0976391	4	8	t-test	E
YFR011C	MIC19	0.016921	0.224641	-0.561005	13.4691	12.4228	0.128411	0.0380615	4	8	t-test	E
YER153C	PET122	9.68315e-06	0.00315447	-0.560921	13.3341	12.3031	0.0256417	0.0520317	4	8	t-test	E
