R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 20
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: r
y-axis treatment: 20
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: r
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL035C	GPR1	0.0491854	0.369729	-2.74681	0.5	3.4816	0.708652	0.20385	4	8	wilcoxon	E
YNR041C	COQ2	0.00802185	0.16453	-2.74435	0.5	3.27575	0.125	0.0569155	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.118827	-2.74077	0.710713	3.59518	0.136998	0.0348765	4	8	wilcoxon	E
YOR302W	YOR302W	0.38387	0.8194	-2.33678	0.5	2.84752	0.125	0.59036	4	8	wilcoxon	E
YKL212W	SAC1	0.193931	0.645013	-2.29855	0.5	2.68721	0	0.547672	4	8	wilcoxon	E
YHL007C	STE20	0.54655	0.893911	-2.26062	0.5	2.90051	0.0800452	0.576847	4	8	wilcoxon	E
YPR024W	YME1	0.00836037	0.167802	-1.96687	0.5	2.54196	0.16417	0.09122	4	8	wilcoxon	E
YPL178W	CBC2	0.386476	0.824132	-1.90475	0.5	2.25836	0.13529	0.467545	4	8	wilcoxon	E
YIL040W	APQ12	0.550818	0.893911	-1.89834	0.53614	2.89215	0.695171	0.546501	4	8	wilcoxon	E
YMR202W	ERG2	0.386476	0.824132	-1.86165	0.5	2.34027	0.135103	0.502813	4	8	wilcoxon	E
YCR081W	SRB8	0.143118	0.580556	-1.69366	0.5	2.21212	0.125	0.405173	4	8	wilcoxon	E
YOR058C	ASE1	0.109091	0.511628	-1.58486	1.70514	3.43284	0.571808	0.434707	4	8	wilcoxon	E
YOL064C	MET22	0.549409	0.893911	-1.48281	1.09899	2.51697	0.0708525	0.81504	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.118827	-1.41367	1.35246	2.86106	0.395503	0.0844126	4	8	wilcoxon	E
