R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: K
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: K
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	2.65109e-08	2.24547e-05	-692558	31876.3	661615	8330.01	28558.2	4	8	t-test	E
YER016W	BIM1	0.000417897	0.0465735	-572829	76070.8	592631	5079.55	83710.5	4	8	t-test	E
YDR318W	MCM21	8.16797e-08	5.76523e-05	-542414	185296	664606	3086.14	22800.1	4	8	t-test	E
YNR041C	COQ2	1.56521e-08	1.65716e-05	-493984	16124.7	465875	9146.9	21618.9	4	8	t-test	E
YPL018W	CTF19	7.65333e-06	0.00310655	-490479	214623	643960	35527.2	31497.1	4	8	t-test	E
YEL061C	CIN8	2.86474e-05	0.00758261	-440380	69327.5	465508	36260.9	44038.5	4	8	t-test	E
YOR058C	ASE1	0.0530569	0.422361	-425594	186710	559209	146737	81394.6	4	8	t-test	E
YDL035C	GPR1	0.0699685	0.466216	-391592	154758	498973	148539	74035.3	4	8	t-test	E
YPL017C	IRC15	3.5946e-07	0.000217474	-391091	363968	689584	12096.2	25392.8	4	8	t-test	E
YBL025W	RRN10	0.0634489	0.455192	-372056	124302	453317	112262	125210	4	8	t-test	E
YHL007C	STE20	0.0147423	0.252215	-365113	1533.79	334853	596.839	103697	4	8	t-test	E
YDR126W	SWF1	2.15556e-05	0.00608587	-323164	213845	490442	26112	30645.6	4	8	t-test	E
YMR198W	CIK1	1.93571e-06	0.000910858	-311336	101392	376938	10908	24335.5	4	8	t-test	E
YOL004W	SIN3	3.609e-09	5.09471e-06	-308666	54800.4	331948	6229.24	12201.7	4	8	t-test	E
YKL212W	SAC1	0.0334387	0.364043	-302752	2322.85	278620	1017.97	104747	4	8	t-test	E
YDL118W	YDL118W	0.000442334	0.0468321	-287713	445757	669867	21407.4	45079.6	4	8	t-test	E
YDR254W	CHL4	0.00083375	0.0677128	-278999	535611	743971	34326.5	18059.4	4	8	t-test	E
YBR222C	PCS60	5.18692e-07	0.000274582	-263036	577431	767586	9013.67	17977.9	4	8	t-test	E
YGL046W	YGL046W	0.000875611	0.0686706	-261300	427825	629367	36675.1	33914.4	4	8	t-test	E
YBR150C	TBS1	0.0272113	0.333063	-255307	539969	726314	72298	42064.2	4	8	t-test	E
YKR019C	IRS4	0.00179375	0.089371	-248799	394855	587839	34416.3	43663.3	4	8	t-test	E
YLR418C	CDC73	1.24948e-05	0.00439642	-246007	270547	471761	10223.8	23967.4	4	8	t-test	E
YMR243C	ZRC1	0.000354788	0.042061	-245673	497474	678705	25561.1	35453.2	4	8	t-test	E
YOR275C	RIM20	6.57873e-05	0.0139305	-245642	367543	560013	17506.5	29765.9	4	8	t-test	E
YOR030W	DFG16	0.000573255	0.0551757	-244377	399701	588226	23060.6	39230.1	4	8	t-test	E
YOR302W	YOR302W	0.0127721	0.231414	-241361	1592.55	221886	492.419	66403.6	4	8	t-test	E
YDL119C	YDL119C	0.00280307	0.113179	-236515	575277	741397	39699.7	24607.9	4	8	t-test	E
YKR065C	PAM17	0.00109293	0.0690655	-230544	501622	668676	33699.9	26288.3	4	8	t-test	E
YHL027W	RIM101	3.6713e-05	0.00914586	-230437	393351	569696	7024.72	24597.6	4	8	t-test	E
YGL045W	RIM8	0.00825664	0.200742	-228385	442939	613110	48495	36942	4	8	t-test	E
YBR231C	SWC5	0.00398347	0.13503	-227432	299890	481595	35304.5	45501.7	4	8	t-test	E
YDL142C	CRD1	0.000774562	0.0677128	-225786	329738	507352	26420.9	36026.1	4	8	t-test	E
YGR157W	CHO2	0.00580948	0.177293	-224757	31108.4	233678	11789.5	52924.4	4	8	t-test	E
YBR107C	IML3	0.00334937	0.122281	-219760	533761	688179	37768	22047.1	4	8	t-test	E
YBR209W	YBR209W	0.000552982	0.0544623	-219126	645944	790055	28601.8	22265.7	4	8	t-test	E
YGR122W	YGR122W	9.26635e-05	0.0186871	-219099	430393	593172	18719.2	26935	4	8	t-test	E
YPL098C	MGR2	8.06896e-06	0.00310655	-217465	366679	533491	10513.6	20482.7	4	8	t-test	E
YCR033W	SNT1	0.00345063	0.124901	-216546	455160	613459	33081.5	42135.4	4	8	t-test	E
YBR212W	NGR1	0.0118346	0.228344	-216435	654361	795285	47174.1	20104.1	4	8	t-test	E
YBR221C	PDB1	0.000525332	0.0542629	-216322	527545	679362	8062.51	33749.4	4	8	t-test	E
YIL040W	APQ12	0.245494	0.665599	-216299	185056	366551	128438	104262	4	8	t-test	E
YDR305C	HNT2	0.000726535	0.0668886	-216250	689645	827340	21485	35779.6	4	8	t-test	E
YLL042C	ATG10	0.00734709	0.19242	-215102	533976	684122	42280.1	20092	4	8	t-test	E
YDR245W	MNN10	0.0708992	0.466216	-211037	96842.4	281182	10645.4	90416.1	4	8	t-test	E
YDR162C	NBP2	0.0334092	0.364043	-210872	464230	616560	48129.2	64584.2	4	8	t-test	E
YKL032C	IXR1	0.00697382	0.189321	-210494	298104	464495	42977.2	27063.5	4	8	t-test	E
YNL257C	SIP3	0.050575	0.415895	-209683	586353	727008	71130.5	40635	4	8	t-test	E
YBR220C	YBR220C	6.16082e-05	0.0137321	-207027	662315	793957	14264.4	24932.1	4	8	t-test	E
YBR238C	YBR238C	0.000248712	0.0339772	-206768	549890	691045	21317.7	27938.1	4	8	t-test	E
