R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YCL032W	STE50	3.86614e-08	4.03444e-05	-2394190	74252.8	2349980	27890.5	106175	4	8	t-test	E
YER016W	BIM1	0.000398425	0.0359006	-1961140	226611	2082760	16594.6	296354	4	8	t-test	E
YDR318W	MCM21	5.78342e-08	4.08213e-05	-1920840	569991	2371290	16411	84290.4	4	8	t-test	E
YPL018W	CTF19	7.26958e-06	0.00219905	-1710490	681460	2277150	122291	110871	4	8	t-test	E
YNR041C	COQ2	1.37608e-08	1.94256e-05	-1709410	28166.1	1654190	27728.4	74481.4	4	8	t-test	E
YEL061C	CIN8	1.72422e-05	0.0045638	-1468790	212749	1600840	112911	145637	4	8	t-test	E
YOR058C	ASE1	0.0519548	0.38621	-1466440	621790	1988020	502299	289540	4	8	t-test	E
YPL017C	IRC15	2.75831e-07	0.000166878	-1376770	1190390	2443960	39756.8	89772.8	4	8	t-test	E
YDL035C	GPR1	0.0646161	0.412122	-1329430	504413	1745830	490233	262270	4	8	t-test	E
YBL025W	RRN10	0.0549193	0.394994	-1312800	400449	1631030	367200	454500	4	8	t-test	E
YHL007C	STE20	0.0149118	0.215653	-1208880	893.213	1151710	480.541	358815	4	8	t-test	E
YDR126W	SWF1	2.091e-05	0.00486296	-1157380	634537	1705920	96618.6	101662	4	8	t-test	E
YDL118W	YDL118W	0.000217031	0.0255312	-1094010	1404940	2379020	69415.5	161725	4	8	t-test	E
YMR198W	CIK1	1.49329e-06	0.000758894	-1068070	304432	1306630	34818.7	83828.8	4	8	t-test	E
YDR254W	CHL4	0.00047693	0.0412204	-1050240	1729020	2645890	112426	59402	4	8	t-test	E
YOL004W	SIN3	4.76322e-08	4.03444e-05	-1033440	144510	1121420	15291.1	49317.6	4	8	t-test	E
YKL212W	SAC1	0.0361313	0.335764	-1029940	496.552	980980	166.879	379094	4	8	t-test	E
YBR222C	PCS60	1.61276e-06	0.000758894	-1009680	1907660	2777330	35545.5	80818.1	4	8	t-test	E
YBR150C	TBS1	0.0170268	0.229879	-949275	1768850	2587680	238336	158811	4	8	t-test	E
YGL046W	YGL046W	0.000547116	0.045432	-934768	1383240	2206760	122550	114721	4	8	t-test	E
YDL119C	YDL119C	0.00195328	0.074524	-914010	1852530	2633770	140177	85369.9	4	8	t-test	E
YKR019C	IRS4	0.000999501	0.0545241	-866187	1277860	2041150	106713	148154	4	8	t-test	E
YMR243C	ZRC1	0.000266685	0.0289593	-865263	1628330	2373930	81154.2	128286	4	8	t-test	E
YLR418C	CDC73	6.03506e-06	0.00212898	-858706	866171	1642100	37598.8	81014.2	4	8	t-test	E
YBR212W	NGR1	0.00472211	0.123445	-857912	2152970	2866390	157943	93342.1	4	8	t-test	E
YOR275C	RIM20	4.72862e-05	0.00816956	-849702	1208250	1959190	68089.9	99700.5	4	8	t-test	E
YBR231C	SWC5	0.00312727	0.0999191	-837635	922928	1676070	116340	173938	4	8	t-test	E
YOR030W	DFG16	0.000341325	0.0328565	-830053	1320410	2047260	78123.2	127995	4	8	t-test	E
YHL027W	RIM101	2.18173e-05	0.00486296	-829374	1273000	2001480	21690.7	85131.2	4	8	t-test	E
YBR221C	PDB1	0.000567453	0.0454587	-829223	1678060	2386960	18035.7	134125	4	8	t-test	E
YBR107C	IML3	0.00156796	0.0680775	-828127	1756630	2460710	123402	79237.6	4	8	t-test	E
YBR238C	YBR238C	8.79549e-05	0.0126584	-827356	1762800	2465850	75368.1	101740	4	8	t-test	E
YCR033W	SNT1	0.00128262	0.059691	-827256	1378770	2100150	108092	144707	4	8	t-test	E
YGL045W	RIM8	0.00637282	0.145863	-827199	1434600	2153250	165908	139448	4	8	t-test	E
YBR209W	YBR209W	0.000606822	0.0458909	-826846	2133170	2817960	108167	81927.5	4	8	t-test	E
YOR302W	YOR302W	0.0128265	0.201935	-813363	605.02	774905	26.7305	233478	4	8	t-test	E
YBR220C	YBR220C	7.49226e-05	0.011332	-810024	2190930	2856930	44983	103939	4	8	t-test	E
YDR305C	HNT2	0.000353308	0.0332502	-809428	2255880	2918200	73686.4	126277	4	8	t-test	E
YKR065C	PAM17	0.00118656	0.0577597	-809267	1671080	2361310	118762	89080.3	4	8	t-test	E
YDR162C	NBP2	0.0219357	0.259347	-802830	1494020	2186620	167520	232499	4	8	t-test	E
YDL142C	CRD1	0.000461143	0.0406863	-795014	1053370	1759680	86198.3	123488	4	8	t-test	E
YBR223C	TDP1	0.00231014	0.0836825	-775581	2020100	2661520	124020	77370.1	4	8	t-test	E
YBR072W	HSP26	0.00691814	0.150005	-769354	2458960	3073380	153194	145686	4	8	t-test	E
YDR245W	MNN10	0.0613076	0.399442	-759623	256015	966897	25804.9	324591	4	8	t-test	E
YIL040W	APQ12	0.238019	0.619464	-755400	601811	1292080	435319	380914	4	8	t-test	E
YFR011C	MIC19	0.0149582	0.215653	-751355	1612550	2250460	168478	60150.2	4	8	t-test	E
YBR201W	DER1	1.8352e-05	0.00457181	-747502	2412290	3008150	60246.5	70259.3	4	8	t-test	E
YPL098C	MGR2	6.53524e-06	0.00212898	-744420	1218710	1868920	26887	69190.7	4	8	t-test	E
YLL042C	ATG10	0.00543765	0.131695	-743302	1788970	2410750	135532	67230.1	4	8	t-test	E
YGR157W	CHO2	0.00626172	0.145863	-742203	100041	801824	38437.3	184777	4	8	t-test	E
YGR122W	YGR122W	4.18242e-05	0.00816956	-739752	1415040	2051380	61318.7	83385.4	4	8	t-test	E
YKL032C	IXR1	0.00445177	0.119939	-736457	945269	1601020	136373	88936.4	4	8	t-test	E
YGR058W	PEF1	0.00116524	0.0573814	-727485	1413750	2038480	93105.6	126030	4	8	t-test	E
YNL257C	SIP3	0.0570632	0.395359	-727242	1975540	2573070	256747	147283	4	8	t-test	E
YBR182C	SMP1	0.00312262	0.0999191	-717464	1853510	2447590	122679	121790	4	8	t-test	E
YKR029C	SET3	0.0010196	0.0545241	-717063	1496000	2106850	96422.6	115039	4	8	t-test	E
YBR178W	YBR178W	0.0017039	0.0714457	-711491	2482700	3040900	108919	72686.5	4	8	t-test	E
