R package version: 0.0-43
Summary type: median
Test type: wilcoxon
x-axis treatment: 27
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: MDR
y-axis treatment: 27
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: MDR
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNR041C	COQ2	0.0040404	0.0707071	-7.88952	0.699035	8.41006	1.18433	0.103261	4	8	wilcoxon	E
YHL007C	STE20	0.387338	0.601091	-6.55635	0.711755	7.15637	0.250432	1.43461	4	8	wilcoxon	E
YOR302W	YOR302W	0.20194	0.430213	-6.32689	0.682895	6.86956	0.00760503	1.21963	4	8	wilcoxon	E
YPR024W	YME1	0.0040404	0.0707071	-6.21162	0.682722	6.66874	0.174012	0.201943	4	8	wilcoxon	E
YKL212W	SAC1	0.0040404	0.0707071	-5.45391	0.697384	5.68894	0.175612	0.729695	4	8	wilcoxon	E
YCR081W	SRB8	0.0370772	0.21256	-5.04476	0	4.88137	0	0.946599	4	8	wilcoxon	E
YCL032W	STE50	0.0040404	0.0707071	-5.03372	4.01474	8.67381	0.836618	0.137728	4	8	wilcoxon	E
YOR303W	CPA1	0.252325	0.49721	-4.68592	0.354423	5.23785	0.205577	1.1738	4	8	wilcoxon	E
YBL025W	RRN10	0.109091	0.308617	-4.46161	2.75711	8.38067	1.7085	1.15149	4	8	wilcoxon	E
YDL035C	GPR1	0.0727273	0.258389	-4.3356	2.45317	8.2902	1.7527	1.0349	4	8	wilcoxon	E
YPR141C	KAR3	0.0040404	0.0707071	-3.90671	1.99297	5.54083	0.532977	0.276637	4	8	wilcoxon	E
YOR058C	ASE1	0.0888693	0.308617	-3.49765	5.18933	8.5075	1.7811	1.07897	4	8	wilcoxon	E
YER016W	BIM1	0.0040404	0.0707071	-3.10061	5.3558	8.2884	0.106255	0.185077	4	8	wilcoxon	E
YEL061C	CIN8	0.0040404	0.0707071	-3.03958	5.00298	7.64803	1.41525	0.174676	4	8	wilcoxon	E
YOL052C	SPE2	0.0411842	0.21256	-2.94629	1.32262	4.2462	0.694807	0.611616	4	8	wilcoxon	E
YPR069C	SPE3	0.0040404	0.0707071	-2.85054	1.23116	4.31542	0.527032	0.350572	4	8	wilcoxon	E
YOL004W	SIN3	0.0040404	0.0707071	-2.79931	4.50668	7.15415	0.212397	0.18868	4	8	wilcoxon	E
YDR318W	MCM21	0.0040404	0.0707071	-2.56384	6.34026	8.71466	0.15861	0.146267	4	8	wilcoxon	E
YMR198W	CIK1	0.0040404	0.0707071	-2.17079	5.55809	7.66521	0.141234	0.128293	4	8	wilcoxon	E
YMR202W	ERG2	0.20194	0.430213	-2.13394	4.37603	6.26464	0.179877	1.14075	4	8	wilcoxon	E
YDR126W	SWF1	0.0040404	0.0707071	-2.09903	6.15749	8.09502	0.381254	0.0905722	4	8	wilcoxon	E
YPL018W	CTF19	0.0040404	0.0707071	-1.94301	6.42255	8.64767	0.256937	0.15346	4	8	wilcoxon	E
YGR157W	CHO2	0.109091	0.308617	-1.8894	5.15969	7.01887	0.448993	0.913505	4	8	wilcoxon	E
YIL040W	APQ12	0.282828	0.49721	-1.80415	5.25981	7.233	0.887017	1.04335	4	8	wilcoxon	E
YDR392W	SPT3	0.0040404	0.0707071	-1.72415	5.95368	7.47732	0.359983	0.101312	4	8	wilcoxon	E
YOR078W	BUD21	0.20194	0.430213	-1.71365	3.78065	5.38318	0.19865	0.977044	4	8	wilcoxon	E
YJL204C	RCY1	0.153535	0.364474	-1.5976	4.72536	6.4762	0.733442	0.357923	4	8	wilcoxon	E
YDL118W	YDL118W	0.0040404	0.0707071	-1.55989	7.19874	8.58271	0.0774233	0.170886	4	8	wilcoxon	E
YDR245W	MNN10	0.0040404	0.0707071	-1.4698	4.8401	5.90079	0.213823	0.454338	4	8	wilcoxon	E
YGR188C	BUB1	0.0484848	0.21256	-1.42983	4.96794	6.27648	0.149076	0.266437	4	8	wilcoxon	E
YDL033C	SLM3	0.214141	0.430213	-1.41565	5.01575	6.4052	0.120017	0.974918	4	8	wilcoxon	E
YBR231C	SWC5	0.00808081	0.0929952	-1.36097	6.65622	7.5767	0.227186	0.26545	4	8	wilcoxon	E
YDR207C	UME6	0.214141	0.430213	-1.34374	5.70607	6.88595	0.112044	0.523384	4	8	wilcoxon	E
YBR238C	YBR238C	0.0040404	0.0707071	-1.33922	7.64198	8.79005	0.106745	0.157078	4	8	wilcoxon	E
YBR194W	AIM4	0.153535	0.364474	-1.3338	4.19972	5.67605	0.445052	0.582173	4	8	wilcoxon	E
YIL084C	SDS3	0.0040404	0.0707071	-1.32512	6.63883	7.82366	0.114634	0.144654	4	8	wilcoxon	E
YDR254W	CHL4	0.0040404	0.0707071	-1.31858	7.67169	8.88781	0.0932001	0.122907	4	8	wilcoxon	E
YCR028C-A	RIM1	0.00808081	0.0929952	-1.29867	6.7435	8.05351	0.124765	0.191274	4	8	wilcoxon	E
YBR222C	PCS60	0.0040404	0.0707071	-1.29828	8.08806	9.18844	0.102758	0.23095	4	8	wilcoxon	E
YLR193C	UPS1	0.0040404	0.0707071	-1.28963	5.39315	6.46888	0.146359	0.202311	4	8	wilcoxon	E
YPL017C	IRC15	0.0040404	0.0707071	-1.2706	7.58996	8.63282	0.067607	0.153745	4	8	wilcoxon	E
YBR212W	NGR1	0.0040404	0.0707071	-1.25123	8.20887	9.10034	0.169423	0.249242	4	8	wilcoxon	E
YDL119C	YDL119C	0.0040404	0.0707071	-1.24099	7.67475	8.92647	0.173493	0.124199	4	8	wilcoxon	E
YDR162C	NBP2	0.0161616	0.128655	-1.21721	7.51901	8.55466	0.209225	0.189163	4	8	wilcoxon	E
YBR207W	FTH1	0.0161616	0.128655	-1.1976	8.34348	9.43983	0.187389	0.216852	4	8	wilcoxon	E
YBR093C	PHO5	0.0484848	0.21256	-1.1968	5.89586	6.98895	0.106819	0.376799	4	8	wilcoxon	E
YBR150C	TBS1	0.0161616	0.128655	-1.1906	7.94796	9.12595	0.207899	0.220094	4	8	wilcoxon	E
YCR033W	SNT1	0.0040404	0.0707071	-1.19006	6.79347	7.7901	0.121913	0.136063	4	8	wilcoxon	E
YHR041C	SRB2	0.460606	0.649356	-1.17551	5.47997	6.70376	0.411191	0.922154	4	8	wilcoxon	E
YOR026W	BUB3	0.0282828	0.166589	-1.1304	5.16937	6.21515	0.313129	0.15732	4	8	wilcoxon	E
YCR086W	CSM1	0.0040404	0.0707071	-1.12547	6.50839	7.47521	0.0924624	0.111106	4	8	wilcoxon	E
YDL071C	YDL071C	0.00808081	0.0929952	-1.0904	7.77802	8.72365	0.107457	0.163406	4	8	wilcoxon	E
YBR178W	YBR178W	0.0161616	0.128655	-1.08512	8.40088	9.47692	0.203123	0.205083	4	8	wilcoxon	E
YBR095C	RXT2	0.00532148	0.0923626	-1.06633	7.55339	8.49611	0.136627	0.729048	8	16	wilcoxon	E
YDL038C	YDL038C	0.0161616	0.128655	-1.06555	8.11455	9.09131	0.148654	0.210781	4	8	wilcoxon	E
YOL049W	GSH2	0.349394	0.570998	-1.0553	3.77769	4.96227	0.316796	0.995895	4	8	wilcoxon	E
YAL013W	DEP1	0.0040404	0.0707071	-1.04339	6.90966	7.73673	0.226535	0.180207	4	8	wilcoxon	E
YBR099C	YBR099C	0.0040404	0.0707071	-1.04007	8.01935	8.87114	0.117881	0.212955	4	8	wilcoxon	E
YLR418C	CDC73	0.0040404	0.0707071	-1.03294	7.0766	8.01957	0.129945	0.0861672	4	8	wilcoxon	E
YBR199W	KTR4	0.0727273	0.258389	-1.02862	8.10503	8.94383	0.124544	0.325341	4	8	wilcoxon	E
YBR201W	DER1	0.0040404	0.0707071	-1.00901	8.50828	9.3195	0.0878262	0.247683	4	8	wilcoxon	E
YDL019C	OSH2	0.0282828	0.166589	-1.00554	8.17084	8.99885	0.0726734	0.204717	4	8	wilcoxon	E
YBR162C	TOS1	0.0161616	0.128655	-1.00518	8.36997	8.98265	0.176788	0.247979	4	8	wilcoxon	E
YFL036W	RPO41	0.0161616	0.128655	-0.99838	6.48598	7.38849	0.0911496	0.254812	4	8	wilcoxon	E
YBR145W	ADH5	0.109091	0.308617	-0.97952	8.58362	9.30256	0.226102	0.294584	4	8	wilcoxon	E
YBR209W	YBR209W	0.0484848	0.21256	-0.962064	8.1643	8.87812	0.179502	0.259998	4	8	wilcoxon	E
YBR180W	DTR1	0.0484848	0.21256	-0.960184	8.29527	8.98733	0.190816	0.22443	4	8	wilcoxon	E
YDL036C	PUS9	0.0161616	0.128655	-0.953429	8.19478	8.98605	0.0960434	0.172858	4	8	wilcoxon	E
YBR092C	PHO3	0.0040404	0.0707071	-0.952043	8.46469	9.25631	0.0609835	0.183582	4	8	wilcoxon	E
