R package version: 0.0-43
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhl_CNGT
x-axis screen ID: cSGA
x-axis screen name: cSGA
x-axis libraries: Boone Standard SDL
x-axis client: MS
x-axis user: SGA
x-axis date: 2009
x-axis PI: DAL
x-axis condition: 
x-axis inoculation type: DIL
x-axis fitness definition: AUC
y-axis treatment: 37
y-axis medium: SDM_rhl_CNGHT
y-axis screen ID: bir1-17
y-axis screen name: bir1-17
y-axis libraries: 
y-axis client: MS
y-axis user: AC
y-axis date: 2010
y-axis PI: DAL
y-axis condition: 
y-axis inoculation type: DIL
y-axis fitness definition: AUC
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YOR349W	CIN1	3.55162e-07	1.72887e-05	-1303240	1464	2554520	388.508	139155	4	8	t-test	E
YCL032W	STE50	1.48565e-06	4.85994e-05	-1127640	15493.7	2238180	6840.06	150941	4	8	t-test	E
YML124C	TUB3	2.13961e-10	4.53061e-08	-1125860	18559.8	2240700	17124.9	70678.9	4	8	t-test	E
YPR046W	MCM16	3.67384e-05	0.000565772	-1114150	2062.76	2185470	1203.55	236920	4	8	t-test	E
YJR135C	MCM22	2.97723e-07	1.48336e-05	-1107450	485.679	2169260	163.673	115247	4	8	t-test	E
YPL253C	VIK1	1.56623e-06	4.98719e-05	-1104500	11243.4	2184550	8267.36	150134	4	8	t-test	E
YLR381W	CTF3	6.88027e-07	2.69796e-05	-1097460	882.544	2150490	200.432	129033	4	8	t-test	E
YOR195W	SLK19	1.74642e-08	1.64357e-06	-1078540	29821.1	2170100	24742.3	107611	4	8	t-test	E
YDR254W	CHL4	8.1226e-07	3.04418e-05	-1063780	26147.5	2134010	25915.6	153388	4	8	t-test	E
YFR046C	CNN1	7.46628e-08	5.18356e-06	-1043100	19082.5	2079680	5834.18	92787.4	4	8	t-test	E
YGL217C	YGL217C	3.1765e-57	1.34525e-53	-1037110	52306.9	2133010	13066.2	40462.9	28	56	t-test	E
YGL094C	PAN2	0.00522946	0.0240203	-982699	434960	2775680	154126	92501.5	4	8	t-test	E
